Name,NTF,Scattering,Constructors,Methods,LoCs,VP,Tangling,DT_Max,DT_Min,NGOr_Max,NGXOr_Max,BF_Max,NO,NTop,NLeaf,NVCF,NomesFeatures
ArgoUML/FigAssociation.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigClassifierBoxWithAttributes.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigClassifierRole.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigComment.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigDataType.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigEdgeAssociationClass.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigEdgeModelElement.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/FigEdgeNote.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigEditableCompartment.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigFinalState.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigInterface.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigLifeLine.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigNodeModelElement.java,2,211,70,444,3311,761,4,2,2,0,0,0,2,0,2,X, ; LOGGING ; COGNITIVE
ArgoUML/FigPackage.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigSingleLineText.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigStateVertex.java,1,18,0,22,118,22,19,3,3,0,0,0,1,0,1,X, ; STATEDIAGRAM
ArgoUML/FigStereotypesGroup.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FigStubState.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/FileModelLoader.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/GeneratorManager.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
ArgoUML/GoCollaborationToDiagram.java,1,8,2,13,152,26,3,3,3,0,0,0,1,0,1,X, ; SEQUENCEDIAGRAM
ArgoUML/GoNamespaceToDiagram.java,1,18,0,22,118,22,19,3,3,0,0,0,1,0,1,X, ; STATEDIAGRAM
ArgoUML/GoStateToDownstream.java,2,52,3,63,656,83,57,3,3,0,0,0,2,0,2,X, ; ACTIVITYDIAGRAM ; STATEDIAGRAM
ArgoUML/HelpBox.java,1,199,69,418,2912,730,0,2,2,0,0,0,1,0,1,X, ; LOGGING
