file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,featureAMP.Mp3Controller,class,3,18,2,0,21,0,8,8,0,4,0,0,3,95,
src,featureAMP.ShowCover,class,3,7,1,0,13,0,3,3,0,4,0,0,0,49,
src,featureAMP.VolumeControl,class,6,27,1,0,16,15,11,6,0,8,0,0,0,114,
src,featureAMP.TitleTimeListener,class,5,4,1,0,9,0,2,2,0,1,0,0,0,23,
src,featureAMP.AudioFile,interface,2,8,1,0,0,28,8,8,0,0,0,0,0,11,
src,featureAMP.Playlist,class,18,100,2,0,83,172,32,24,0,9,0,0,6,379,
src,featureAMP.AbstractAudioController,class,3,42,1,2,9,250,28,21,0,9,0,0,1,159,
src,featureAMP.TitleListener,class,2,3,1,0,6,0,1,1,0,0,0,0,0,14,
src,featureAMP.OggController,class,3,18,2,0,21,0,8,8,0,4,0,0,3,95,
src,featureAMP.Listener,interface,1,1,1,0,0,0,1,1,0,0,0,0,0,4,
src,featureAMP.AbstractAudioFile,class,1,6,1,2,4,4,4,4,0,1,0,0,1,24,
src,featureAMP.OggMetaFile,class,3,18,2,0,6,11,7,7,0,5,0,0,2,66,
src,featureAMP.Mp3MetaFile,class,3,19,2,0,10,9,7,7,0,6,0,0,0,66,
src,featureAMP.FinishedListener,interface,2,1,1,0,0,0,1,1,0,0,0,0,0,4,
src,featureAMP.ProgressBar,class,6,8,1,0,9,0,4,4,0,2,0,0,0,33,
src,featureAMP.AudioController,interface,3,27,1,0,0,351,27,27,0,3,3,3,0,34,
src,featureAMP.QueueTrack,class,5,18,1,0,13,0,5,5,0,5,0,0,0,65,
src,featureAMP.AudioFactory,class,7,36,3,0,14,45,10,3,10,1,0,1,14,95,
src,featureAMP.PlaylistTableModel,class,3,31,2,0,17,16,9,5,0,2,0,1,0,68,
src,featureAMP.PlayerBar,class,11,16,1,0,17,1,10,9,0,5,0,0,0,108,
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,25,25,25,0,32,
src,featureAMP.PlayerControl,class,15,88,2,0,40,0,23,14,0,13,4,4,1,285,
src,featureAMP.FeatureAmp,class,13,78,1,0,56,404,33,10,3,12,1,1,8,285,4
src,featureAMP.MenuManager,class,2,20,1,0,22,35,11,7,0,3,0,0,3,81,
