file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,
src,featureamp.gui.RowTransferHandler,class,1,18,2,0,19,0,6,4,0,3,1,1,2,81,
src,specifications.Configuration,class,0,0,1,0,0,0,0,0,0,38,38,38,0,45,
src,featureamp.playback.MP3Track,class,5,10,2,0,13,1,2,1,0,0,0,0,1,48,
src,featureamp.gui.elements.Picture,class,0,11,5,0,15,9,7,6,0,5,0,1,1,73,
src,featureamp.gui.elements.Dialogs,class,0,17,1,0,10,45,4,4,4,0,0,0,2,79,
src,featureamp.playback.Track,interface,0,9,1,0,0,36,9,0,0,0,0,0,0,17,
src,featureamp.controler.M3U,class,1,6,1,0,11,1,2,2,2,1,0,1,0,44,
src,featureamp.gui.elements.VPanel,class,1,1,6,0,2,0,1,1,0,1,1,1,0,18,
src,gui.DefaultLayout,class,2,17,2,0,12,25,11,10,0,2,0,0,0,237,
src,gui.DefaultFrame,class,0,14,6,0,13,0,5,4,0,3,1,1,4,78,
src,featureamp.playlist.Playlist,class,1,62,1,0,23,116,24,18,0,4,2,2,0,185,9
src,featureamp.gui.MainWindow,class,14,190,9,0,166,1433,44,8,0,49,4,8,30,892,
src,gui.DefaultPanel,class,4,13,5,0,11,1,7,7,1,1,0,0,0,95,
src,featureamp.playback.WAVTrack,class,1,3,2,0,3,0,1,1,0,0,0,0,0,19,
src,featureamp.FeatureAMP,class,1,13,1,0,10,1,3,1,2,5,5,5,6,79,
src,featureamp.gui.elements.HPanel,class,1,1,6,0,2,0,1,1,0,1,1,1,0,18,
src,gui.IconButton,class,0,1,6,0,3,0,1,1,0,1,0,1,0,16,
src,featureamp.playback.TrackFactory,class,5,35,1,0,11,35,11,3,11,1,0,1,16,96,
src,featureamp.playback.OGGTrack,class,5,8,2,0,8,0,1,1,0,0,0,0,1,40,
src,featureamp.gui.elements.ScrollPane,class,0,1,5,0,3,0,1,1,0,1,1,1,0,19,
src,featureamp.playback.Player,class,3,45,1,0,27,55,22,16,3,4,0,1,3,181,
src,featureamp.gui.elements.Table,class,5,14,15,0,22,7,7,7,0,6,3,4,1,105,
src,featureamp.gui.elements.Label,class,0,1,5,0,2,0,1,1,0,1,1,1,0,17,
src,featureamp.playback.AACTrack,class,5,8,2,0,7,0,1,1,0,0,0,0,1,40,
src,featureamp.playback.BasicTrack,class,1,12,1,3,0,27,10,10,0,4,0,0,0,61,
src,featureamp.controler.Kernel,class,7,114,1,0,71,940,52,29,0,14,0,0,9,411,11
