"configuration","trace","description"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:falseskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:falseshowtime:trueshowtitle:falsewavplayer:falseloadfolder:falseshowcover:falseshufflerepeat:falseskins:trueorangebluest:truedark:falseopenfile:trueclearplaylist:false","Unable to find component using matcher org.fest.swing.core.TypeMatcher[type=javax.swing.JFileChooser, requireShowing=true].","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:trueskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:truesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:falseshowtime:trueshowtitle:truewavplayer:falseloadfolder:falseshowcover:trueshufflerepeat:falseskins:trueorangebluest:falsedark:falseopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:truevolumecontrol:falseskiptrack:falsemp3player:falseremovetrack:falsetime:truechangeplaylist:falseopenmp3file:falsereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:falseshowtime:trueshowtitle:falsewavplayer:trueloadfolder:falseshowcover:falseshufflerepeat:falseskins:trueorangebluest:truedark:falseopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:trueskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:trueshowtime:falseshowtitle:falsewavplayer:falseloadfolder:falseshowcover:trueshufflerepeat:falseskins:trueorangebluest:falsedark:trueopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:falseskiptrack:falsemp3player:falseremovetrack:falsetime:truechangeplaylist:falseopenmp3file:falsereorderplaylist:falseplaylist:truelight:falsesaveandloadplaylist:truequeuetrack:truemute:falseprogressbar:trueshowtime:falseshowtitle:falsewavplayer:trueloadfolder:trueshowcover:falseshufflerepeat:falseskins:trueorangebluest:truedark:falseopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:trueskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:falseshowtime:trueshowtitle:truewavplayer:falseloadfolder:falseshowcover:trueshufflerepeat:falseskins:trueorangebluest:falsedark:trueopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:falseskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:falseshowtime:trueshowtitle:truewavplayer:falseloadfolder:falseshowcover:falseshufflerepeat:falseskins:trueorangebluest:falsedark:trueopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:trueskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:trueprogressbar:falseshowtime:trueshowtitle:falsewavplayer:falseloadfolder:falseshowcover:falseshufflerepeat:falseskins:trueorangebluest:truedark:falseopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:falsevolumecontrol:trueskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:truesaveandloadplaylist:falsequeuetrack:falsemute:trueprogressbar:falseshowtime:trueshowtitle:falsewavplayer:falseloadfolder:falseshowcover:falseshufflerepeat:falseskins:trueorangebluest:falsedark:falseopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
"featureamp:truegui:trueaudioformats:trueopenwavfile:truevolumecontrol:falseskiptrack:falsemp3player:trueremovetrack:falsetime:truechangeplaylist:falseopenmp3file:truereorderplaylist:falseplaylist:falselight:falsesaveandloadplaylist:falsequeuetrack:falsemute:falseprogressbar:falseshowtime:trueshowtitle:truewavplayer:trueloadfolder:falseshowcover:falseshufflerepeat:falseskins:trueorangebluest:falsedark:trueopenfile:trueclearplaylist:false","","starWAVTest(testset.AppGUITest)"
