"configuration","trace","description"
"ai_player:falseonline_player:falseoffline_player:true","	at org.junit.Assert.fail(Assert.java:87)","testChangePosition(testset.BoardTest)"
"ai_player:trueonline_player:trueoffline_player:false","	at org.junit.Assert.fail(Assert.java:89)","clickedPanelTest(testset.ModelTest)"
"ai_player:trueonline_player:trueoffline_player:false","	at model.Board.whiteKingCheck(Board.java:611)","clickedPanel_2Test(testset.ModelTest)"
"ai_player:trueonline_player:trueoffline_player:false","	at model.Board.whiteKingCheck(Board.java:611)","clickedPanel_3Test(testset.ModelTest)"
"ai_player:trueonline_player:trueoffline_player:false","	at model.Board.whiteKingCheck(Board.java:611)","clickedPanel_4Test(testset.ModelTest)"
