Images example,PNG images,,,WebStoreSPL-005-AHEAD,AHEAD
In-Flight Entertainment System,Capella models,,,WebStoreSPL-006-AHEAD,AHEAD
Industrial Automation System,C and C++,,,,
Insurance Policy,Feature model,,,,
J2ME Games Product Line,OO source code + extension join points (EJPs),,,,
jasmine,Javascript,,,,
Java Buffer Library,Java,,,,
Jbook,Java,,,,
JForum,Java and SQL statements,,,,
JGossip,Java and SQL statements,,,,
JHipster,Java (with Spring Boot) in the server side. AngularJS and Bootstrap (a HTML/CSS and Javascript framework),,,,
JHotDraw,Java,,,,
KePlast platform,Java,,,,
Labor Market Monitoring Software Product Line (LMMSPL),Text and Java,,,,
Library,Text documents,,,,
Library management systems,Text file,,,,
LinkedList,Feature model,,,,
Linux kernel,C,,,,
LLVMCompiler,Feature model,,,,
Microsoft Dynamics AX,XML files,,,,
Microwave Oven,Uml Class and UML Statechart models,,,,
Mobile Phone,Feature model,,,,
MobileMedia,Java,,,,
ModelAnalyzer,Java,,,,
MOTIV video generator SPL,Videos,,,,
MVNForum,Java and SQL statements,,,,
Notepad SPL,Java,,,,
PCM Dataset,product comparison matrices (PCMs) found in Wikipedia,,,,
Pharmaceutical wholesaler logistics systems,Magic,,,,
PKJab,Feature model,,,,
Pooka Email Client,Java,,,,
Power control and protection system,C and C++,,,,
Prevayler,Feature model,,,,
Printworks,CSharp,,,,
Project Management tools,Java,,,,
QlikView,XML file,,,,
Robocode,Java,,,,
SELEX Sistemi Integrati Systems,Text documents,,,,
SensorNetwork,Feature model,,,,
ShirtsMyWay web configurator,Web,,,,
Siemens VAI MSS tool,Eclipse plugins,,,,
Siemens VAI Steel Plant Automation Software (CC-L2),"Java, Spring Framework",,,,
SIP Communicator,Java,,,,
Smart Home,UML + AOP,,,,
Softpedia Repository,Feature descriptors,,,,
SPLOT Feature Models,Feature model,,,,
Statemachine metamodels,Meta-models as Ecore models with operational semantics in Java,,,,
Sudoku,Java,,,,
Suppliers offerings,Table,,,,
Text Editing System SPL,Java,,,,
TimelineJS,Javascript,,,,
Traffic management systems,Text documents,,,,
Trek Bikes catalog,CSV file,,,,
uClibc,C,,,,
